file,topic_id,topic,level,question,type,answer
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,30,context_single,A
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,31,multi,BD
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,32,multi,BC
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,33,multi,AD
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,34,multi,AD
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,35,multi,CD
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,36,match,"1-A, 2-D, 3-C, 4-B"
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,37,match,"1-D, 2-C, 3-B, 4-A"
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,38,match,"1-B, 2-A, 3-C, 4-D"
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,39,match,"1-B, 2-C, 3-A, 4-D"
t01_m.md,01,Общегеографические методы. Исследования и исследователи,Средний,40,match,"1-C, 2-A, 3-B, 4-D"
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,1,single,B
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,2,single,A
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,3,single,B
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,4,single,C
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,5,single,D
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,6,single,B
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,7,single,C
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,8,single,C
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,9,single,A
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,10,single,D
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,11,single,B
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,12,single,C
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,13,single,A
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,14,single,B
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,15,single,D
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,16,single,D
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,17,single,C
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,18,single,B
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,19,single,D
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,20,single,B
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,21,single,D
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,22,single,C
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,23,single,A
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,24,single,B
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,25,single,D
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,26,context_single,C
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,27,context_single,A
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,28,context_single,D
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,29,context_single,A
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,30,context_single,A
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,31,multi,AB
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,32,multi,AD
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,33,multi,BC
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,34,multi,AB
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,35,multi,AB
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,36,match,"1-D, 2-A, 3-B, 4-C"
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,37,match,"1-A, 2-C, 3-B, 4-D"
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,38,match,"1-B, 2-C, 3-D, 4-A"
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,39,match,"1-C, 2-A, 3-B, 4-D"
t01_h.md,01,Общегеографические методы. Исследования и исследователи,Высокий,40,match,"1-B, 2-D, 3-C, 4-A"
t02_b.md,02,Картография,Базовый,1,single,A
t02_b.md,02,Картография,Базовый,2,single,B
t02_b.md,02,Картография,Базовый,3,single,A
t02_b.md,02,Картография,Базовый,4,single,C
t02_b.md,02,Картография,Базовый,5,single,A
t02_b.md,02,Картография,Базовый,6,single,C
t02_b.md,02,Картография,Базовый,7,single,A
t02_b.md,02,Картография,Базовый,8,single,C
t02_b.md,02,Картография,Базовый,9,single,A
t02_b.md,02,Картография,Базовый,10,single,A
t02_b.md,02,Картография,Базовый,11,single,D
t02_b.md,02,Картография,Базовый,12,single,A
t02_b.md,02,Картография,Базовый,13,single,C
t02_b.md,02,Картография,Базовый,14,single,B
t02_b.md,02,Картография,Базовый,15,single,A
t02_b.md,02,Картография,Базовый,16,single,C
t02_b.md,02,Картография,Базовый,17,single,D
t02_b.md,02,Картография,Базовый,18,single,B
t02_b.md,02,Картография,Базовый,19,single,C
t02_b.md,02,Картография,Базовый,20,single,B
t02_b.md,02,Картография,Базовый,21,single,C
t02_b.md,02,Картография,Базовый,22,single,B
t02_b.md,02,Картография,Базовый,23,single,D
t02_b.md,02,Картография,Базовый,24,single,B
t02_b.md,02,Картография,Базовый,25,single,B
t02_b.md,02,Картография,Базовый,26,context_single,C
t02_b.md,02,Картография,Базовый,27,context_single,A
t02_b.md,02,Картография,Базовый,28,context_single,C
t02_b.md,02,Картография,Базовый,29,context_single,D
t02_b.md,02,Картография,Базовый,30,context_single,C
t02_b.md,02,Картография,Базовый,31,multi,BC
t02_b.md,02,Картография,Базовый,32,multi,BC
t02_b.md,02,Картография,Базовый,33,multi,AB
t02_b.md,02,Картография,Базовый,34,multi,BD
t02_b.md,02,Картография,Базовый,35,multi,CD
t02_b.md,02,Картография,Базовый,36,match,"1-B, 2-C, 3-D, 4-A"
t02_b.md,02,Картография,Базовый,37,match,"1-B, 2-C, 3-D, 4-A"
t02_b.md,02,Картография,Базовый,38,match,"1-D, 2-A, 3-C, 4-B"
t02_b.md,02,Картография,Базовый,39,match,"1-B, 2-A, 3-D, 4-C"
t02_b.md,02,Картография,Базовый,40,match,"1-D, 2-C, 3-A, 4-B"
t02_m.md,02,Картография,Средний,1,single,D
t02_m.md,02,Картография,Средний,2,single,B
t02_m.md,02,Картография,Средний,3,single,D
t02_m.md,02,Картография,Средний,4,single,A
t02_m.md,02,Картография,Средний,5,single,D
t02_m.md,02,Картография,Средний,6,single,A
t02_m.md,02,Картография,Средний,7,single,B
t02_m.md,02,Картография,Средний,8,single,C
t02_m.md,02,Картография,Средний,9,single,B
t02_m.md,02,Картография,Средний,10,single,D
t02_m.md,02,Картография,Средний,11,single,C
t02_m.md,02,Картография,Средний,12,single,B
t02_m.md,02,Картография,Средний,13,single,D
t02_m.md,02,Картография,Средний,14,single,D
t02_m.md,02,Картография,Средний,15,single,A
t02_m.md,02,Картография,Средний,16,single,D
t02_m.md,02,Картография,Средний,17,single,D
t02_m.md,02,Картография,Средний,18,single,C
t02_m.md,02,Картография,Средний,19,single,A
t02_m.md,02,Картография,Средний,20,single,A
t02_m.md,02,Картография,Средний,21,single,C
t02_m.md,02,Картография,Средний,22,single,C
t02_m.md,02,Картография,Средний,23,single,A
t02_m.md,02,Картография,Средний,24,single,B
t02_m.md,02,Картография,Средний,25,single,C
t02_m.md,02,Картография,Средний,26,context_single,D
t02_m.md,02,Картография,Средний,27,context_single,A
t02_m.md,02,Картография,Средний,28,context_single,B
t02_m.md,02,Картография,Средний,29,context_single,D
t02_m.md,02,Картография,Средний,30,context_single,D
t02_m.md,02,Картография,Средний,31,multi,AD
t02_m.md,02,Картография,Средний,32,multi,BD
t02_m.md,02,Картография,Средний,33,multi,AC
t02_m.md,02,Картография,Средний,34,multi,AB
t02_m.md,02,Картография,Средний,35,multi,AB
t02_m.md,02,Картография,Средний,36,match,"1-A, 2-D, 3-B, 4-C"
t02_m.md,02,Картография,Средний,37,match,"1-C, 2-A, 3-B, 4-D"
t02_m.md,02,Картография,Средний,38,match,"1-B, 2-C, 3-D, 4-A"
t02_m.md,02,Картография,Средний,39,match,"1-A, 2-D, 3-C, 4-B"
t02_m.md,02,Картография,Средний,40,match,"1-C, 2-D, 3-A, 4-B"
t02_h.md,02,Картография,Высокий,1,single,D
t02_h.md,02,Картография,Высокий,2,single,C
t02_h.md,02,Картография,Высокий,3,single,D
t02_h.md,02,Картография,Высокий,4,single,D
t02_h.md,02,Картография,Высокий,5,single,B
t02_h.md,02,Картография,Высокий,6,single,C
t02_h.md,02,Картография,Высокий,7,single,B
t02_h.md,02,Картография,Высокий,8,single,D
t02_h.md,02,Картография,Высокий,9,single,A
t02_h.md,02,Картография,Высокий,10,single,B
t02_h.md,02,Картография,Высокий,11,single,B
t02_h.md,02,Картография,Высокий,12,single,C
t02_h.md,02,Картография,Высокий,13,single,A
t02_h.md,02,Картография,Высокий,14,single,A
t02_h.md,02,Картография,Высокий,15,single,C
t02_h.md,02,Картография,Высокий,16,single,A
t02_h.md,02,Картография,Высокий,17,single,C
t02_h.md,02,Картография,Высокий,18,single,A
t02_h.md,02,Картография,Высокий,19,single,B
t02_h.md,02,Картография,Высокий,20,single,C
t02_h.md,02,Картография,Высокий,21,single,D
t02_h.md,02,Картография,Высокий,22,single,B
t02_h.md,02,Картография,Высокий,23,single,C
t02_h.md,02,Картография,Высокий,24,single,C
t02_h.md,02,Картография,Высокий,25,single,B
t02_h.md,02,Картография,Высокий,26,context_single,D
t02_h.md,02,Картография,Высокий,27,context_single,D
t02_h.md,02,Картография,Высокий,28,context_single,B
t02_h.md,02,Картография,Высокий,29,context_single,C
t02_h.md,02,Картография,Высокий,30,context_single,A
t02_h.md,02,Картография,Высокий,31,multi,BD
t02_h.md,02,Картография,Высокий,32,multi,AB
t02_h.md,02,Картография,Высокий,33,multi,AD
t02_h.md,02,Картография,Высокий,34,multi,BD
t02_h.md,02,Картография,Высокий,35,multi,CD
t02_h.md,02,Картография,Высокий,36,match,"1-D, 2-B, 3-C, 4-A"
t02_h.md,02,Картография,Высокий,37,match,"1-D, 2-A, 3-B, 4-C"
t02_h.md,02,Картография,Высокий,38,match,"1-D, 2-C, 3-A, 4-B"
t02_h.md,02,Картография,Высокий,39,match,"1-B, 2-C, 3-D, 4-A"
t02_h.md,02,Картография,Высокий,40,match,"1-C, 2-B, 3-A, 4-D"
t03_b.md,03,Основы геоинформатики,Базовый,1,single,C
t03_b.md,03,Основы геоинформатики,Базовый,2,single,A
t03_b.md,03,Основы геоинформатики,Базовый,3,single,C
t03_b.md,03,Основы геоинформатики,Базовый,4,single,C
t03_b.md,03,Основы геоинформатики,Базовый,5,single,B
t03_b.md,03,Основы геоинформатики,Базовый,6,single,D
t03_b.md,03,Основы геоинформатики,Базовый,7,single,B
t03_b.md,03,Основы геоинформатики,Базовый,8,single,C
t03_b.md,03,Основы геоинформатики,Базовый,9,single,C
t03_b.md,03,Основы геоинформатики,Базовый,10,single,D
t03_b.md,03,Основы геоинформатики,Базовый,11,single,C
t03_b.md,03,Основы геоинформатики,Базовый,12,single,A
t03_b.md,03,Основы геоинформатики,Базовый,13,single,C
t03_b.md,03,Основы геоинформатики,Базовый,14,single,A
t03_b.md,03,Основы геоинформатики,Базовый,15,single,C
t03_b.md,03,Основы геоинформатики,Базовый,16,single,C
t03_b.md,03,Основы геоинформатики,Базовый,17,single,D
t03_b.md,03,Основы геоинформатики,Базовый,18,single,C
t03_b.md,03,Основы геоинформатики,Базовый,19,single,B
t03_b.md,03,Основы геоинформатики,Базовый,20,single,C
t03_b.md,03,Основы геоинформатики,Базовый,21,single,D
t03_b.md,03,Основы геоинформатики,Базовый,22,single,D
t03_b.md,03,Основы геоинформатики,Базовый,23,single,A
t03_b.md,03,Основы геоинформатики,Базовый,24,single,D
t03_b.md,03,Основы геоинформатики,Базовый,25,single,D
t03_b.md,03,Основы геоинформатики,Базовый,26,context_single,B
t03_b.md,03,Основы геоинформатики,Базовый,27,context_single,D
t03_b.md,03,Основы геоинформатики,Базовый,28,context_single,B
t03_b.md,03,Основы геоинформатики,Базовый,29,context_single,D
t03_b.md,03,Основы геоинформатики,Базовый,30,context_single,B
t03_b.md,03,Основы геоинформатики,Базовый,31,multi,BC
t03_b.md,03,Основы геоинформатики,Базовый,32,multi,CD
t03_b.md,03,Основы геоинформатики,Базовый,33,multi,CD
t03_b.md,03,Основы геоинформатики,Базовый,34,multi,AC
t03_b.md,03,Основы геоинформатики,Базовый,35,multi,CD
t03_b.md,03,Основы геоинформатики,Базовый,36,match,"1-D, 2-A, 3-C, 4-B"
t03_b.md,03,Основы геоинформатики,Базовый,37,match,"1-B, 2-C, 3-A, 4-D"
t03_b.md,03,Основы геоинформатики,Базовый,38,match,"1-B, 2-D, 3-C, 4-A"
t03_b.md,03,Основы геоинформатики,Базовый,39,match,"1-D, 2-C, 3-B, 4-A"
t03_b.md,03,Основы геоинформатики,Базовый,40,match,"1-A, 2-C, 3-D, 4-B"
t03_m.md,03,Основы геоинформатики,Средний,1,single,A
t03_m.md,03,Основы геоинформатики,Средний,2,single,B
t03_m.md,03,Основы геоинформатики,Средний,3,single,A
t03_m.md,03,Основы геоинформатики,Средний,4,single,D
t03_m.md,03,Основы геоинформатики,Средний,5,single,A
t03_m.md,03,Основы геоинформатики,Средний,6,single,D
t03_m.md,03,Основы геоинформатики,Средний,7,single,B
t03_m.md,03,Основы геоинформатики,Средний,8,single,C
t03_m.md,03,Основы геоинформатики,Средний,9,single,A
t03_m.md,03,Основы геоинформатики,Средний,10,single,D
t03_m.md,03,Основы геоинформатики,Средний,11,single,D
t03_m.md,03,Основы геоинформатики,Средний,12,single,C
t03_m.md,03,Основы геоинформатики,Средний,13,single,D
t03_m.md,03,Основы геоинформатики,Средний,14,single,D
t03_m.md,03,Основы геоинформатики,Средний,15,single,C
t03_m.md,03,Основы геоинформатики,Средний,16,single,C
t03_m.md,03,Основы геоинформатики,Средний,17,single,D
t03_m.md,03,Основы геоинформатики,Средний,18,single,B
t03_m.md,03,Основы геоинформатики,Средний,19,single,A
t03_m.md,03,Основы геоинформатики,Средний,20,single,D
t03_m.md,03,Основы геоинформатики,Средний,21,single,D
t03_m.md,03,Основы геоинформатики,Средний,22,single,D
t03_m.md,03,Основы геоинформатики,Средний,23,single,D
t03_m.md,03,Основы геоинформатики,Средний,24,single,C
t03_m.md,03,Основы геоинформатики,Средний,25,single,D
t03_m.md,03,Основы геоинформатики,Средний,26,context_single,B
t03_m.md,03,Основы геоинформатики,Средний,27,context_single,C
t03_m.md,03,Основы геоинформатики,Средний,28,context_single,A
t03_m.md,03,Основы геоинформатики,Средний,29,context_single,A
t03_m.md,03,Основы геоинформатики,Средний,30,context_single,D
t03_m.md,03,Основы геоинформатики,Средний,31,multi,BD
t03_m.md,03,Основы геоинформатики,Средний,32,multi,AC
t03_m.md,03,Основы геоинформатики,Средний,33,multi,AB
t03_m.md,03,Основы геоинформатики,Средний,34,multi,CD
t03_m.md,03,Основы геоинформатики,Средний,35,multi,CD
t03_m.md,03,Основы геоинформатики,Средний,36,match,"1-A, 2-C, 3-B, 4-D"
t03_m.md,03,Основы геоинформатики,Средний,37,match,"1-B, 2-C, 3-A, 4-D"
t03_m.md,03,Основы геоинформатики,Средний,38,match,"1-C, 2-B, 3-A, 4-D"
t03_m.md,03,Основы геоинформатики,Средний,39,match,"1-A, 2-D, 3-C, 4-B"
t03_m.md,03,Основы геоинформатики,Средний,40,match,"1-A, 2-D, 3-C, 4-B"
t03_h.md,03,Основы геоинформатики,Высокий,1,single,A
t03_h.md,03,Основы геоинформатики,Высокий,2,single,B
t03_h.md,03,Основы геоинформатики,Высокий,3,single,B
t03_h.md,03,Основы геоинформатики,Высокий,4,single,D
t03_h.md,03,Основы геоинформатики,Высокий,5,single,A
t03_h.md,03,Основы геоинформатики,Высокий,6,single,C
t03_h.md,03,Основы геоинформатики,Высокий,7,single,A
t03_h.md,03,Основы геоинформатики,Высокий,8,single,C
t03_h.md,03,Основы геоинформатики,Высокий,9,single,D
t03_h.md,03,Основы геоинформатики,Высокий,10,single,C
t03_h.md,03,Основы геоинформатики,Высокий,11,single,C
t03_h.md,03,Основы геоинформатики,Высокий,12,single,C
t03_h.md,03,Основы геоинформатики,Высокий,13,single,C
t03_h.md,03,Основы геоинформатики,Высокий,14,single,A
t03_h.md,03,Основы геоинформатики,Высокий,15,single,A
t03_h.md,03,Основы геоинформатики,Высокий,16,single,D
t03_h.md,03,Основы геоинформатики,Высокий,17,single,C
t03_h.md,03,Основы геоинформатики,Высокий,18,single,C
t03_h.md,03,Основы геоинформатики,Высокий,19,single,B
t03_h.md,03,Основы геоинформатики,Высокий,20,single,C
t03_h.md,03,Основы геоинформатики,Высокий,21,single,D
t03_h.md,03,Основы геоинформатики,Высокий,22,single,B
t03_h.md,03,Основы геоинформатики,Высокий,23,single,B
t03_h.md,03,Основы геоинформатики,Высокий,24,single,B
t03_h.md,03,Основы геоинформатики,Высокий,25,single,A
t03_h.md,03,Основы геоинформатики,Высокий,26,context_single,B
t03_h.md,03,Основы геоинформатики,Высокий,27,context_single,D
t03_h.md,03,Основы геоинформатики,Высокий,28,context_single,A
t03_h.md,03,Основы геоинформатики,Высокий,29,context_single,C
t03_h.md,03,Основы геоинформатики,Высокий,30,context_single,D
t03_h.md,03,Основы геоинформатики,Высокий,31,multi,BD
t03_h.md,03,Основы геоинформатики,Высокий,32,multi,BD
t03_h.md,03,Основы геоинформатики,Высокий,33,multi,AB
t03_h.md,03,Основы геоинформатики,Высокий,34,multi,BC
t03_h.md,03,Основы геоинформатики,Высокий,35,multi,BC
t03_h.md,03,Основы геоинформатики,Высокий,36,match,"1-D, 2-C, 3-A, 4-B"
t03_h.md,03,Основы геоинформатики,Высокий,37,match,"1-C, 2-A, 3-B, 4-D"
t03_h.md,03,Основы геоинформатики,Высокий,38,match,"1-D, 2-C, 3-A, 4-B"
t03_h.md,03,Основы геоинформатики,Высокий,39,match,"1-A, 2-C, 3-B, 4-D"
t03_h.md,03,Основы геоинформатики,Высокий,40,match,"1-A, 2-D, 3-B, 4-C"
t04_b.md,04,Литосфера,Базовый,1,single,D
t04_b.md,04,Литосфера,Базовый,2,single,B
t04_b.md,04,Литосфера,Базовый,3,single,A
t04_b.md,04,Литосфера,Базовый,4,single,D
t04_b.md,04,Литосфера,Базовый,5,single,B
t04_b.md,04,Литосфера,Базовый,6,single,D
t04_b.md,04,Литосфера,Базовый,7,single,D
t04_b.md,04,Литосфера,Базовый,8,single,B
t04_b.md,04,Литосфера,Базовый,9,single,A
t04_b.md,04,Литосфера,Базовый,10,single,A
t04_b.md,04,Литосфера,Базовый,11,single,D
t04_b.md,04,Литосфера,Базовый,12,single,D
t04_b.md,04,Литосфера,Базовый,13,single,A
t04_b.md,04,Литосфера,Базовый,14,single,A
t04_b.md,04,Литосфера,Базовый,15,single,A
t04_b.md,04,Литосфера,Базовый,16,single,C
t04_b.md,04,Литосфера,Базовый,17,single,D
t04_b.md,04,Литосфера,Базовый,18,single,C
t04_b.md,04,Литосфера,Базовый,19,single,B
t04_b.md,04,Литосфера,Базовый,20,single,A
t04_b.md,04,Литосфера,Базовый,21,single,D
t04_b.md,04,Литосфера,Базовый,22,single,B
t04_b.md,04,Литосфера,Базовый,23,single,A
t04_b.md,04,Литосфера,Базовый,24,single,C
t04_b.md,04,Литосфера,Базовый,25,single,B
t04_b.md,04,Литосфера,Базовый,26,context_single,A
t04_b.md,04,Литосфера,Базовый,27,context_single,A
t04_b.md,04,Литосфера,Базовый,28,context_single,C
t04_b.md,04,Литосфера,Базовый,29,context_single,D
t04_b.md,04,Литосфера,Базовый,30,context_single,A
t04_b.md,04,Литосфера,Базовый,31,multi,BD
t04_b.md,04,Литосфера,Базовый,32,multi,CD
t04_b.md,04,Литосфера,Базовый,33,multi,AB
t04_b.md,04,Литосфера,Базовый,34,multi,AC
t04_b.md,04,Литосфера,Базовый,35,multi,AD
t04_b.md,04,Литосфера,Базовый,36,match,"1-D, 2-B, 3-A, 4-C"
t04_b.md,04,Литосфера,Базовый,37,match,"1-C, 2-B, 3-A, 4-D"
t04_b.md,04,Литосфера,Базовый,38,match,"1-C, 2-D, 3-A, 4-B"
t04_b.md,04,Литосфера,Базовый,39,match,"1-B, 2-C, 3-A, 4-D"
t04_b.md,04,Литосфера,Базовый,40,match,"1-B, 2-A, 3-C, 4-D"
t04_m.md,04,Литосфера,Средний,1,single,C
t04_m.md,04,Литосфера,Средний,2,single,B
t04_m.md,04,Литосфера,Средний,3,single,D
t04_m.md,04,Литосфера,Средний,4,single,B
t04_m.md,04,Литосфера,Средний,5,single,B
t04_m.md,04,Литосфера,Средний,6,single,D
t04_m.md,04,Литосфера,Средний,7,single,C
t04_m.md,04,Литосфера,Средний,8,single,B
t04_m.md,04,Литосфера,Средний,9,single,C
t04_m.md,04,Литосфера,Средний,10,single,A
t04_m.md,04,Литосфера,Средний,11,single,B
t04_m.md,04,Литосфера,Средний,12,single,D
t04_m.md,04,Литосфера,Средний,13,single,B
t04_m.md,04,Литосфера,Средний,14,single,A
t04_m.md,04,Литосфера,Средний,15,single,C
t04_m.md,04,Литосфера,Средний,16,single,C
t04_m.md,04,Литосфера,Средний,17,single,C
t04_m.md,04,Литосфера,Средний,18,single,A
t04_m.md,04,Литосфера,Средний,19,single,A
t04_m.md,04,Литосфера,Средний,20,single,A
t04_m.md,04,Литосфера,Средний,21,single,D
t04_m.md,04,Литосфера,Средний,22,single,B
t04_m.md,04,Литосфера,Средний,23,single,B
t04_m.md,04,Литосфера,Средний,24,single,B
t04_m.md,04,Литосфера,Средний,25,single,B
t04_m.md,04,Литосфера,Средний,26,context_single,B
t04_m.md,04,Литосфера,Средний,27,context_single,B
t04_m.md,04,Литосфера,Средний,28,context_single,C
