file,question_no,type,answer,explanation
t02_b.md,40,matching,"1-A, 2-C, 3-B, 4-D",Соответствие между понятием и правилом.
t02_m.md,1,single,A,При умножении степеней с одинаковым основанием показатели складываются.
t02_m.md,2,single,E,Сравниваем показатели степеней с одинаковым основанием.
t02_m.md,3,single,B,При умножении степеней с одинаковым основанием показатели складываются.
t02_m.md,4,single,A,Сравниваем показатели степеней с одинаковым основанием.
t02_m.md,5,single,A,При умножении степеней с одинаковым основанием показатели складываются.
t02_m.md,6,single,E,Сравниваем показатели степеней с одинаковым основанием.
t02_m.md,7,single,E,При умножении степеней с одинаковым основанием показатели складываются.
t02_m.md,8,single,A,Сравниваем показатели степеней с одинаковым основанием.
t02_m.md,9,single,B,При умножении степеней с одинаковым основанием показатели складываются.
t02_m.md,10,single,C,Сравниваем показатели степеней с одинаковым основанием.
t02_m.md,11,single,E,При умножении степеней с одинаковым основанием показатели складываются.
t02_m.md,12,single,A,Сравниваем показатели степеней с одинаковым основанием.
t02_m.md,13,single,B,При умножении степеней с одинаковым основанием показатели складываются.
t02_m.md,14,single,D,Сравниваем показатели степеней с одинаковым основанием.
t02_m.md,15,single,C,При умножении степеней с одинаковым основанием показатели складываются.
t02_m.md,16,single,D,Сравниваем показатели степеней с одинаковым основанием.
t02_m.md,17,single,D,При умножении степеней с одинаковым основанием показатели складываются.
t02_m.md,18,single,E,Сравниваем показатели степеней с одинаковым основанием.
t02_m.md,19,single,D,При умножении степеней с одинаковым основанием показатели складываются.
t02_m.md,20,single,E,Сравниваем показатели степеней с одинаковым основанием.
t02_m.md,21,single,E,При умножении степеней с одинаковым основанием показатели складываются.
t02_m.md,22,single,C,Сравниваем показатели степеней с одинаковым основанием.
t02_m.md,23,single,E,При умножении степеней с одинаковым основанием показатели складываются.
t02_m.md,24,single,A,Сравниваем показатели степеней с одинаковым основанием.
t02_m.md,25,single,B,При умножении степеней с одинаковым основанием показатели складываются.
t02_m.md,26,context_single,B,Сравниваем показатели степеней с одинаковым основанием.
t02_m.md,27,context_single,A,При умножении степеней с одинаковым основанием показатели складываются.
t02_m.md,28,context_single,E,Сравниваем показатели степеней с одинаковым основанием.
t02_m.md,29,context_single,A,При умножении степеней с одинаковым основанием показатели складываются.
t02_m.md,30,context_single,B,Сравниваем показатели степеней с одинаковым основанием.
t02_m.md,31,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t02_m.md,32,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t02_m.md,33,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t02_m.md,34,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t02_m.md,35,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t02_m.md,36,matching,"1-D, 2-A, 3-C, 4-B",Соответствие между понятием и правилом.
t02_m.md,37,matching,"1-B, 2-C, 3-D, 4-A",Соответствие между понятием и правилом.
t02_m.md,38,matching,"1-B, 2-A, 3-D, 4-C",Соответствие между понятием и правилом.
t02_m.md,39,matching,"1-D, 2-C, 3-B, 4-A",Соответствие между понятием и правилом.
t02_m.md,40,matching,"1-C, 2-A, 3-B, 4-D",Соответствие между понятием и правилом.
t02_h.md,1,single,A,При умножении степеней с одинаковым основанием показатели складываются.
t02_h.md,2,single,D,Сравниваем показатели степеней с одинаковым основанием.
t02_h.md,3,single,E,При умножении степеней с одинаковым основанием показатели складываются.
t02_h.md,4,single,A,Сравниваем показатели степеней с одинаковым основанием.
t02_h.md,5,single,C,При умножении степеней с одинаковым основанием показатели складываются.
t02_h.md,6,single,A,Сравниваем показатели степеней с одинаковым основанием.
t02_h.md,7,single,E,При умножении степеней с одинаковым основанием показатели складываются.
t02_h.md,8,single,A,Сравниваем показатели степеней с одинаковым основанием.
t02_h.md,9,single,D,При умножении степеней с одинаковым основанием показатели складываются.
t02_h.md,10,single,A,Сравниваем показатели степеней с одинаковым основанием.
t02_h.md,11,single,C,При умножении степеней с одинаковым основанием показатели складываются.
t02_h.md,12,single,E,Сравниваем показатели степеней с одинаковым основанием.
t02_h.md,13,single,C,При умножении степеней с одинаковым основанием показатели складываются.
t02_h.md,14,single,C,Сравниваем показатели степеней с одинаковым основанием.
t02_h.md,15,single,C,При умножении степеней с одинаковым основанием показатели складываются.
t02_h.md,16,single,E,Сравниваем показатели степеней с одинаковым основанием.
t02_h.md,17,single,E,При умножении степеней с одинаковым основанием показатели складываются.
t02_h.md,18,single,B,Сравниваем показатели степеней с одинаковым основанием.
t02_h.md,19,single,B,При умножении степеней с одинаковым основанием показатели складываются.
t02_h.md,20,single,B,Сравниваем показатели степеней с одинаковым основанием.
t02_h.md,21,single,E,При умножении степеней с одинаковым основанием показатели складываются.
t02_h.md,22,single,A,Сравниваем показатели степеней с одинаковым основанием.
t02_h.md,23,single,E,При умножении степеней с одинаковым основанием показатели складываются.
t02_h.md,24,single,A,Сравниваем показатели степеней с одинаковым основанием.
t02_h.md,25,single,B,При умножении степеней с одинаковым основанием показатели складываются.
t02_h.md,26,context_single,E,Сравниваем показатели степеней с одинаковым основанием.
t02_h.md,27,context_single,A,При умножении степеней с одинаковым основанием показатели складываются.
t02_h.md,28,context_single,B,Сравниваем показатели степеней с одинаковым основанием.
t02_h.md,29,context_single,C,При умножении степеней с одинаковым основанием показатели складываются.
t02_h.md,30,context_single,B,Сравниваем показатели степеней с одинаковым основанием.
t02_h.md,31,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t02_h.md,32,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t02_h.md,33,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t02_h.md,34,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t02_h.md,35,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t02_h.md,36,matching,"1-C, 2-A, 3-D, 4-B",Соответствие между понятием и правилом.
t02_h.md,37,matching,"1-A, 2-B, 3-D, 4-C",Соответствие между понятием и правилом.
t02_h.md,38,matching,"1-B, 2-C, 3-D, 4-A",Соответствие между понятием и правилом.
t02_h.md,39,matching,"1-C, 2-D, 3-A, 4-B",Соответствие между понятием и правилом.
t02_h.md,40,matching,"1-D, 2-A, 3-B, 4-C",Соответствие между понятием и правилом.
t03_b.md,1,single,A,Используется таблица основных тригонометрических значений.
t03_b.md,2,single,A,Используется таблица основных тригонометрических значений.
t03_b.md,3,single,D,Используется таблица основных тригонометрических значений.
t03_b.md,4,single,D,Используется таблица основных тригонометрических значений.
t03_b.md,5,single,A,Используется таблица основных тригонометрических значений.
t03_b.md,6,single,B,Используется таблица основных тригонометрических значений.
t03_b.md,7,single,D,Используется таблица основных тригонометрических значений.
t03_b.md,8,single,D,Используется таблица основных тригонометрических значений.
t03_b.md,9,single,E,Используется таблица основных тригонометрических значений.
t03_b.md,10,single,A,Используется таблица основных тригонометрических значений.
t03_b.md,11,single,E,Используется таблица основных тригонометрических значений.
t03_b.md,12,single,B,Используется таблица основных тригонометрических значений.
t03_b.md,13,single,C,Используется таблица основных тригонометрических значений.
t03_b.md,14,single,D,Используется таблица основных тригонометрических значений.
t03_b.md,15,single,A,Используется таблица основных тригонометрических значений.
t03_b.md,16,single,D,Используется таблица основных тригонометрических значений.
t03_b.md,17,single,A,Используется таблица основных тригонометрических значений.
t03_b.md,18,single,D,Используется таблица основных тригонометрических значений.
t03_b.md,19,single,D,Используется таблица основных тригонометрических значений.
t03_b.md,20,single,C,Используется таблица основных тригонометрических значений.
t03_b.md,21,single,E,Используется таблица основных тригонометрических значений.
t03_b.md,22,single,D,Используется таблица основных тригонометрических значений.
t03_b.md,23,single,B,Используется таблица основных тригонометрических значений.
t03_b.md,24,single,A,Используется таблица основных тригонометрических значений.
t03_b.md,25,single,A,Используется таблица основных тригонометрических значений.
t03_b.md,26,context_single,D,Используется таблица основных тригонометрических значений.
t03_b.md,27,context_single,D,Используется таблица основных тригонометрических значений.
t03_b.md,28,context_single,C,Используется таблица основных тригонометрических значений.
t03_b.md,29,context_single,D,Используется таблица основных тригонометрических значений.
t03_b.md,30,context_single,B,Используется таблица основных тригонометрических значений.
t03_b.md,31,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t03_b.md,32,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t03_b.md,33,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t03_b.md,34,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t03_b.md,35,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t03_b.md,36,matching,"1-B, 2-A, 3-C, 4-D",Соответствие между понятием и правилом.
t03_b.md,37,matching,"1-A, 2-B, 3-D, 4-C",Соответствие между понятием и правилом.
t03_b.md,38,matching,"1-C, 2-D, 3-A, 4-B",Соответствие между понятием и правилом.
t03_b.md,39,matching,"1-D, 2-C, 3-A, 4-B",Соответствие между понятием и правилом.
t03_b.md,40,matching,"1-C, 2-D, 3-B, 4-A",Соответствие между понятием и правилом.
t03_m.md,1,single,A,Используется таблица основных тригонометрических значений.
t03_m.md,2,single,B,Используется таблица основных тригонометрических значений.
t03_m.md,3,single,E,Используется таблица основных тригонометрических значений.
t03_m.md,4,single,B,Используется таблица основных тригонометрических значений.
t03_m.md,5,single,A,Используется таблица основных тригонометрических значений.
t03_m.md,6,single,D,Используется таблица основных тригонометрических значений.
t03_m.md,7,single,D,Используется таблица основных тригонометрических значений.
t03_m.md,8,single,D,Используется таблица основных тригонометрических значений.
t03_m.md,9,single,B,Используется таблица основных тригонометрических значений.
t03_m.md,10,single,C,Используется таблица основных тригонометрических значений.
t03_m.md,11,single,D,Используется таблица основных тригонометрических значений.
t03_m.md,12,single,C,Используется таблица основных тригонометрических значений.
t03_m.md,13,single,A,Используется таблица основных тригонометрических значений.
t03_m.md,14,single,B,Используется таблица основных тригонометрических значений.
t03_m.md,15,single,A,Используется таблица основных тригонометрических значений.
t03_m.md,16,single,A,Используется таблица основных тригонометрических значений.
t03_m.md,17,single,A,Используется таблица основных тригонометрических значений.
t03_m.md,18,single,C,Используется таблица основных тригонометрических значений.
t03_m.md,19,single,C,Используется таблица основных тригонометрических значений.
t03_m.md,20,single,D,Используется таблица основных тригонометрических значений.
t03_m.md,21,single,E,Используется таблица основных тригонометрических значений.
t03_m.md,22,single,C,Используется таблица основных тригонометрических значений.
t03_m.md,23,single,D,Используется таблица основных тригонометрических значений.
t03_m.md,24,single,C,Используется таблица основных тригонометрических значений.
t03_m.md,25,single,C,Используется таблица основных тригонометрических значений.
t03_m.md,26,context_single,C,Используется таблица основных тригонометрических значений.
t03_m.md,27,context_single,A,Используется таблица основных тригонометрических значений.
t03_m.md,28,context_single,D,Используется таблица основных тригонометрических значений.
t03_m.md,29,context_single,A,Используется таблица основных тригонометрических значений.
t03_m.md,30,context_single,B,Используется таблица основных тригонометрических значений.
t03_m.md,31,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t03_m.md,32,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t03_m.md,33,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t03_m.md,34,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t03_m.md,35,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t03_m.md,36,matching,"1-D, 2-B, 3-A, 4-C",Соответствие между понятием и правилом.
t03_m.md,37,matching,"1-C, 2-A, 3-B, 4-D",Соответствие между понятием и правилом.
t03_m.md,38,matching,"1-B, 2-A, 3-C, 4-D",Соответствие между понятием и правилом.
t03_m.md,39,matching,"1-B, 2-D, 3-C, 4-A",Соответствие между понятием и правилом.
t03_m.md,40,matching,"1-B, 2-C, 3-D, 4-A",Соответствие между понятием и правилом.
t03_h.md,1,single,A,Используется таблица основных тригонометрических значений.
t03_h.md,2,single,E,Используется таблица основных тригонометрических значений.
t03_h.md,3,single,D,Используется таблица основных тригонометрических значений.
t03_h.md,4,single,D,Используется таблица основных тригонометрических значений.
t03_h.md,5,single,D,Используется таблица основных тригонометрических значений.
t03_h.md,6,single,E,Используется таблица основных тригонометрических значений.
t03_h.md,7,single,B,Используется таблица основных тригонометрических значений.
t03_h.md,8,single,E,Используется таблица основных тригонометрических значений.
t03_h.md,9,single,E,Используется таблица основных тригонометрических значений.
t03_h.md,10,single,A,Используется таблица основных тригонометрических значений.
t03_h.md,11,single,E,Используется таблица основных тригонометрических значений.
t03_h.md,12,single,C,Используется таблица основных тригонометрических значений.
t03_h.md,13,single,A,Используется таблица основных тригонометрических значений.
t03_h.md,14,single,A,Используется таблица основных тригонометрических значений.
t03_h.md,15,single,D,Используется таблица основных тригонометрических значений.
t03_h.md,16,single,C,Используется таблица основных тригонометрических значений.
t03_h.md,17,single,A,Используется таблица основных тригонометрических значений.
t03_h.md,18,single,B,Используется таблица основных тригонометрических значений.
t03_h.md,19,single,B,Используется таблица основных тригонометрических значений.
t03_h.md,20,single,B,Используется таблица основных тригонометрических значений.
t03_h.md,21,single,C,Используется таблица основных тригонометрических значений.
t03_h.md,22,single,A,Используется таблица основных тригонометрических значений.
t03_h.md,23,single,E,Используется таблица основных тригонометрических значений.
t03_h.md,24,single,C,Используется таблица основных тригонометрических значений.
t03_h.md,25,single,A,Используется таблица основных тригонометрических значений.
t03_h.md,26,context_single,E,Используется таблица основных тригонометрических значений.
t03_h.md,27,context_single,B,Используется таблица основных тригонометрических значений.
t03_h.md,28,context_single,C,Используется таблица основных тригонометрических значений.
t03_h.md,29,context_single,D,Используется таблица основных тригонометрических значений.
t03_h.md,30,context_single,C,Используется таблица основных тригонометрических значений.
t03_h.md,31,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t03_h.md,32,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t03_h.md,33,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t03_h.md,34,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t03_h.md,35,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t03_h.md,36,matching,"1-B, 2-A, 3-D, 4-C",Соответствие между понятием и правилом.
t03_h.md,37,matching,"1-B, 2-C, 3-D, 4-A",Соответствие между понятием и правилом.
t03_h.md,38,matching,"1-B, 2-D, 3-A, 4-C",Соответствие между понятием и правилом.
t03_h.md,39,matching,"1-D, 2-A, 3-B, 4-C",Соответствие между понятием и правилом.
t03_h.md,40,matching,"1-B, 2-D, 3-A, 4-C",Соответствие между понятием и правилом.
t04_b.md,1,single,B,При умножении степеней с одинаковым основанием показатели складываются.
t04_b.md,2,single,A,Выносим полный квадрат из-под корня.
t04_b.md,3,single,E,x=8
t04_b.md,4,single,C,При умножении степеней с одинаковым основанием показатели складываются.
t04_b.md,5,single,E,Выносим полный квадрат из-под корня.
t04_b.md,6,single,C,x=0
t04_b.md,7,single,D,При умножении степеней с одинаковым основанием показатели складываются.
t04_b.md,8,single,B,Выносим полный квадрат из-под корня.
t04_b.md,9,single,B,x=-4
t04_b.md,10,single,A,При умножении степеней с одинаковым основанием показатели складываются.
t04_b.md,11,single,B,Выносим полный квадрат из-под корня.
t04_b.md,12,single,A,x=-5
t04_b.md,13,single,A,При умножении степеней с одинаковым основанием показатели складываются.
t04_b.md,14,single,D,Выносим полный квадрат из-под корня.
t04_b.md,15,single,C,x=-4
t04_b.md,16,single,C,При умножении степеней с одинаковым основанием показатели складываются.
t04_b.md,17,single,A,Выносим полный квадрат из-под корня.
t04_b.md,18,single,E,x=-1
t04_b.md,19,single,E,При умножении степеней с одинаковым основанием показатели складываются.
t04_b.md,20,single,D,Выносим полный квадрат из-под корня.
t04_b.md,21,single,C,x=-1
t04_b.md,22,single,C,При умножении степеней с одинаковым основанием показатели складываются.
t04_b.md,23,single,B,Выносим полный квадрат из-под корня.
t04_b.md,24,single,A,x=-4
t04_b.md,25,single,D,При умножении степеней с одинаковым основанием показатели складываются.
t04_b.md,26,context_single,A,При умножении степеней с одинаковым основанием показатели складываются.
t04_b.md,27,context_single,A,Выносим полный квадрат из-под корня.
t04_b.md,28,context_single,A,x=8
t04_b.md,29,context_single,E,При умножении степеней с одинаковым основанием показатели складываются.
t04_b.md,30,context_single,B,Выносим полный квадрат из-под корня.
t04_b.md,31,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t04_b.md,32,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t04_b.md,33,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t04_b.md,34,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t04_b.md,35,multi,ABD,Верные утверждения соответствуют базовым правилам темы.
t04_b.md,36,matching,"1-C, 2-B, 3-A, 4-D",Соответствие между понятием и правилом.
t04_b.md,37,matching,"1-B, 2-D, 3-C, 4-A",Соответствие между понятием и правилом.
t04_b.md,38,matching,"1-D, 2-A, 3-C, 4-B",Соответствие между понятием и правилом.
t04_b.md,39,matching,"1-C, 2-D, 3-A, 4-B",Соответствие между понятием и правилом.
t04_b.md,40,matching,"1-B, 2-C, 3-D, 4-A",Соответствие между понятием и правилом.
